scene_cut	type	element	souce	left	top	width	hight	fontColor	bgColor	align	scale	opacity	fleamWidth	fleamColor	isEng	fontSize	vRows	scrollSpead	mStart	mPosition	effect	time	備考
s010c01	sound	audio	https://marri-share.com/home/demo/marri_endroll/bgm/Sweet on You by Beth Whitney.mp3																0.0 	0.0 	fi	8500	イントロ	
s010c01	wall	wall	img/mer_bg_flower_road.jpg							0	100	0.5							0.0 			8500		
s010c01	layout	layout	free																			8500		
s010c01	text	top_left	Thank You for Coming			12		#e81384	-1	0					true	112					fi	8500		
s010c01	text	center_left	"本日はお忙しい中<br>私たちの結婚式のために<br>お集まりいただき<br>本当にありがとうございました。"			12		#e81384	-1	0					false	68						8500		
s010c01	text	bottom_left	Ryousuke & Reina			12		#e81384	-1	0					true	112						8500		
s010c02	text	top_left	今日はたくさんのご投稿、ありがとうございました			12		#e81384	-1	0					false	80					fi	8500	17	
s010c02	pict	center_left	img/01001.jpg	0	0	12	0.7	0.7	0.7	0	100	1	10	#ffffff								8500		
s020c01	wall	wall	img/mer_bg_flower_green.jpg							2	100	0.5							0.0 			5600	頂きましたメッセージ	
s020c01	layout	layout	6:6																			5600		
s020c01	text	top_left	えりさんより	0.02		6		#e81384	-1	0					false	60					fi	5600	22.6	
s020c01	pict	center_left	img/02001.jpg		0	6	0.5			0	100	1	5	#ffffff								5600		
s020c01	text	bottom_left	"今日はとっても奇麗だよ！<br>また遊ぼうね！"	0.05		6		#e81384	-1	0					false	30						5600		
s020c01	text	top_right	木戸雄太さんより	0.05	0	6	0	#e81384	-1	0					false	60						5600		
s020c01	pict	center_right	img/02002.jpg		0	6	0.5			0	100	1	5	#ffffff	0							5600		
s020c01	text	bottom_right	今日の新郎は<br>ふざけてばかりのいつもと違って<br>かっこいいゾ！	0.05	0	6	0	#e81384	-1	0					false	30						5600		
s020c02	text	top_left	智樹さんより	0.02	0	6	0	#e81384	-1	0	0	0	0	0	false	60					fi	5600	28.2	
s020c02	pict	center_left	img/02003.jpg	0	0	6	0.5			0	100	1	5	#ffffff	0	0						5600		
s020c02	text	bottom_left	"なかなか凛々しいぜ！　<br>今日はめっちゃ祝ってやるからな！"	0.05	0	6	0	#e81384	-1	0	0	0	0	0	false	30						5600		
s020c02	text	top_right	市原優衣さんより	0.05	0	6	0	#e81384	-1	0	0	0	0	0	false	60						5600		
s020c02	pict	center_right	img/02004.jpg	0	0	6	0.5			0	100	1	5	#ffffff	0	0						5600		
s020c02	text	bottom_right	"今日のれいな、すごいキレイだヨ。<br>亮クンとけんかせず仲良くね。"	0.05	0	6	0	#e81384	-1	0	0	0	0	0	false	30						5600		
s020c03	text	top_left	Yukkoさんより	0.02	0	6	0	#e81384	-1	0	0	0	0	0	false	60					fi	5600	33.8	
s020c03	pict	center_left	img/02005.jpg	0	0	6	0.5			0	100	1	5	#ffffff	0	0						5600		
s020c03	text	bottom_left	"離れてしまってなかなか会えないけど、<br>帰郷したときはあそぼう(^_^)"	0.05	0	6	0	#e81384	-1	0	0	0	0	0	false	30						5600		
s020c03	text	top_right	はなさんより	0.05	0	6	0	#e81384	-1	0	0	0	0	0	false	60						5600		
s020c03	pict	center_right	img/02006.jpg	0	0	6	0.5			0	100	1	5	#ffffff	0	0						5600		
s020c03	text	bottom_right	"東京タラレバ娘から玲奈がめでたく抜けたから、<br>新メンバーを入れたよ(^_^)<br>でもこれからも一緒にタラレバしようネ"	0.05	0	6	0	#e81384	-1	0	0	0	0	0	false	30						5600		
s020c04	text	top_left	新名心音さんより	0.02	0	6	0	#e81384	-1	0	0	0	0	0	false	60					fi	5600	39.4	
s020c04	pict	center_left	img/02007.jpg	0	0	6	0.5			0	100	1	5	#ffffff	0	0						5600		
s020c04	text	bottom_left	"先輩、<br>いつも仕事を教えてくれてアリガトウ！　<br>今度おうちに招待してください"	0.05	0	6	0	#e81384	-1	0	0	0	0	0	false	30						5600		
s020c04	text	top_right	結城咲人さんより	0.05	0	6	0	#e81384	-1	0	0	0	0	0	false	60						5600		
